# lat lon Nways
25 -125 0
25 -124.6 0
25 -124.2 0
25 -123.8 0
25 -123.4 0
25 -123 0
25 -122.6 0
25 -122.2 0
25 -121.8 0
25 -121.4 0
25 -121 0
25 -120.6 0
25 -120.2 0
25 -119.8 0
25 -119.4 0
25 -119 0
25 -118.6 0
25 -118.2 0
25 -117.8 0
25 -117.4 0
25 -117 0
25 -116.6 0
25 -116.2 0
25 -115.8 0
25 -115.4 0
25 -115 0
25 -114.6 0
25 -114.2 0
25 -113.8 0
25 -113.4 0
25 -113 0
25 -112.6 0
25 -112.2 105
25 -111.8 805
25 -111.4 11
25 -111 2
25 -110.6 4
25 -110.2 0
25 -109.8 0
25 -109.4 0
25 -109 0
25 -108.6 0
25 -108.2 373
25 -107.8 1079
25 -107.4 4691
25 -107 228
25 -106.6 80
25 -106.2 39
25 -105.8 60
25 -105.4 666
25 -105 570
25 -104.6 484
25 -104.2 167
25 -103.8 443
25 -103.4 83
25 -103 12
25 -102.6 0
25 -102.2 0
25 -101.8 1
25 -101.4 4
25 -101 273
25 -100.6 725
25 -100.2 635
25 -99.8 450
25 -99.4 925
25 -99 100
25 -98.6 90
25 -98.2 569
25 -97.8 59
25 -97.4 0
25 -97 0
25 -96.6 0
25 -96.2 0
25 -95.8 0
25 -95.4 0
25 -95 0
25 -94.6 0
25 -94.2 0
25 -93.8 0
25 -93.4 0
25 -93 0
25 -92.6 0
25 -92.2 0
25 -91.8 0
25 -91.4 0
25 -91 0
25 -90.6 0
25 -90.2 0
25 -89.8 0
25 -89.4 0
25 -89 0
25 -88.6 0
25 -88.2 0
25 -87.8 0
25 -87.4 0
25 -87 0
25 -86.6 0
25 -86.2 0
25 -85.8 0
25 -85.4 0
25 -85 0
25 -84.6 0
25 -84.2 0
25 -83.8 0
25 -83.4 0
25 -83 0
25 -82.6 0
25 -82.2 0
25 -81.8 0
25 -81.4 0
25 -81 194
25 -80.6 1340
25 -80.2 208
25 -79.8 0
25 -79.4 0
25 -79 0
25 -78.6 0
25 -78.2 0
25 -77.8 0
25 -77.4 0
25 -77 0
25 -76.6 0
25 -76.2 0
25 -75.8 0
25 -75.4 0
25 -75 0
25 -74.6 0
25 -74.2 0
25 -73.8 0
25 -73.4 0
25 -73 0
25 -72.6 0
25 -72.2 0
25 -71.8 0
25 -71.4 0
25 -71 0
25 -70.6 0
25 -70.2 0
25 -69.8 0
25 -69.4 0
25 -69 0
25 -68.6 0
25 -68.2 0
25 -67.8 0
25 -67.4 0
25 -67 0
25 -66.6 0
25 -66.2 0
25.4 -125 0
25.4 -124.6 0
25.4 -124.2 0
25.4 -123.8 0
25.4 -123.4 0
25.4 -123 0
25.4 -122.6 0
25.4 -122.2 0
25.4 -121.8 0
25.4 -121.4 0
25.4 -121 0
25.4 -120.6 0
25.4 -120.2 0
25.4 -119.8 0
25.4 -119.4 0
25.4 -119 0
25.4 -118.6 0
25.4 -118.2 0
25.4 -117.8 0
25.4 -117.4 0
25.4 -117 0
25.4 -116.6 0
25.4 -116.2 0
25.4 -115.8 0
25.4 -115.4 0
25.4 -115 0
25.4 -114.6 0
25.4 -114.2 0
25.4 -113.8 0
25.4 -113.4 0
25.4 -113 0
25.4 -112.6 0
25.4 -112.2 28
25.4 -111.8 281
25.4 -111.4 3
25.4 -111 0
25.4 -110.6 0
25.4 -110.2 0
25.4 -109.8 0
25.4 -109.4 0
25.4 -109 64
25.4 -108.6 1637
25.4 -108.2 3282
25.4 -107.8 859
25.4 -107.4 256
25.4 -107 68
25.4 -106.6 92
25.4 -106.2 38
25.4 -105.8 246
25.4 -105.4 129
25.4 -105 112
25.4 -104.6 169
25.4 -104.2 274
25.4 -103.8 414
25.4 -103.4 13793
25.4 -103 115
25.4 -102.6 52
25.4 -102.2 871
25.4 -101.8 253
25.4 -101.4 351
25.4 -101 13283
25.4 -100.6 507
25.4 -100.2 4404
25.4 -99.8 1229
25.4 -99.4 19
25.4 -99 14
25.4 -98.6 16
25.4 -98.2 55
25.4 -97.8 179
25.4 -97.4 4
25.4 -97 0
25.4 -96.6 0
25.4 -96.2 0
25.4 -95.8 0
25.4 -95.4 0
25.4 -95 0
25.4 -94.6 0
25.4 -94.2 0
25.4 -93.8 0
25.4 -93.4 0
25.4 -93 0
25.4 -92.6 0
25.4 -92.2 0
25.4 -91.8 0
25.4 -91.4 0
25.4 -91 0
25.4 -90.6 0
25.4 -90.2 0
25.4 -89.8 0
25.4 -89.4 0
25.4 -89 0
25.4 -88.6 0
25.4 -88.2 0
25.4 -87.8 0
25.4 -87.4 0
25.4 -87 0
25.4 -86.6 0
25.4 -86.2 0
25.4 -85.8 0
25.4 -85.4 0
25.4 -85 0
25.4 -84.6 0
25.4 -84.2 0
25.4 -83.8 0
25.4 -83.4 0
25.4 -83 0
25.4 -82.6 0
25.4 -82.2 0
25.4 -81.8 0
25.4 -81.4 0
25.4 -81 8
