# lat lon Nways
25 -125 0
25 -124.8 0
25 -124.6 0
25 -124.4 0
25 -124.2 0
25 -124 0
25 -123.8 0
25 -123.6 0
25 -123.4 0
25 -123.2 0
25 -123 0
25 -122.8 0
25 -122.6 0
25 -122.4 0
25 -122.2 0
25 -122 0
25 -121.8 0
25 -121.6 0
25 -121.4 0
25 -121.2 0
25 -121 0
25 -120.8 0
25 -120.6 0
25 -120.4 0
25 -120.2 0
25 -120 0
25 -119.8 0
25 -119.6 0
25 -119.4 0
25 -119.2 0
25 -119 0
25 -118.8 0
25 -118.6 0
25 -118.4 0
25 -118.2 0
25 -118 0
25 -117.8 0
25 -117.6 0
25 -117.4 0
25 -117.2 0
25 -117 0
25 -116.8 0
25 -116.6 0
25 -116.4 0
25 -116.2 0
25 -116 0
25 -115.8 0
25 -115.6 0
25 -115.4 0
25 -115.2 0
25 -115 0
25 -114.8 0
25 -114.6 0
25 -114.4 0
25 -114.2 0
25 -114 0
25 -113.8 0
25 -113.6 0
25 -113.4 0
25 -113.2 0
25 -113 0
25 -112.8 0
25 -112.6 0
25 -112.4 0
25 -112.2 7
25 -112 13
25 -111.8 36
25 -111.6 740
25 -111.4 2
25 -111.2 2
25 -111 0
25 -110.8 1
25 -110.6 0
25 -110.4 0
25 -110.2 0
25 -110 0
25 -109.8 0
25 -109.6 0
25 -109.4 0
25 -109.2 0
25 -109 0
25 -108.8 0
25 -108.6 0
25 -108.4 0
25 -108.2 0
25 -108 179
25 -107.8 446
25 -107.6 329
25 -107.4 162
25 -107.2 72
25 -107 114
25 -106.8 38
25 -106.6 9
25 -106.4 31
25 -106.2 6
25 -106 11
25 -105.8 11
25 -105.6 16
25 -105.4 482
25 -105.2 178
25 -105 95
25 -104.8 163
25 -104.6 63
25 -104.4 53
25 -104.2 26
25 -104 19
25 -103.8 157
25 -103.6 3
25 -103.4 19
25 -103.2 12
25 -103 1
25 -102.8 1
25 -102.6 0
25 -102.4 0
25 -102.2 0
25 -102 0
25 -101.8 0
25 -101.6 0
25 -101.4 1
25 -101.2 26
25 -101 132
25 -100.8 129
25 -100.6 349
25 -100.4 27
25 -100.2 54
25 -100 110
25 -99.8 19
25 -99.6 52
25 -99.4 9
25 -99.2 2
25 -99 7
25 -98.8 85
25 -98.6 2
25 -98.4 1
25 -98.2 22
25 -98 118
25 -97.8 23
25 -97.6 0
25 -97.4 0
25 -97.2 0
25 -97 0
25 -96.8 0
25 -96.6 0
25 -96.4 0
25 -96.2 0
25 -96 0
25 -95.8 0
25 -95.6 0
25 -95.4 0
25 -95.2 0
25 -95 0
25 -94.8 0
25 -94.6 0
25 -94.4 0
25 -94.2 0
25 -94 0
25 -93.8 0
25 -93.6 0
25 -93.4 0
25 -93.2 0
25 -93 0
25 -92.8 0
25 -92.6 0
25 -92.4 0
25 -92.2 0
25 -92 0
25 -91.8 0
25 -91.6 0
25 -91.4 0
25 -91.2 0
25 -91 0
25 -90.8 0
25 -90.6 0
25 -90.4 0
25 -90.2 0
25 -90 0
25 -89.8 0
25 -89.6 0
25 -89.4 0
25 -89.2 0
25 -89 0
25 -88.8 0
25 -88.6 0
25 -88.4 0
25 -88.2 0
25 -88 0
25 -87.8 0
25 -87.6 0
25 -87.4 0
25 -87.2 0
25 -87 0
25 -86.8 0
25 -86.6 0
25 -86.4 0
25 -86.2 0
25 -86 0
25 -85.8 0
25 -85.6 0
25 -85.4 0
25 -85.2 0
25 -85 0
25 -84.8 0
25 -84.6 0
25 -84.4 0
25 -84.2 0
25 -84 0
25 -83.8 0
25 -83.6 0
25 -83.4 0
25 -83.2 0
25 -83 0
25 -82.8 0
25 -82.6 0
25 -82.4 0
25 -82.2 0
25 -82 0
25 -81.8 0
25 -81.6 0
25 -81.4 0
25 -81.2 0
25 -81 0
25 -80.8 0
25 -80.6 581
25 -80.4 318
25 -80.2 0
25 -80 0
25 -79.8 0
25 -79.6 0
25 -79.4 0
25 -79.2 0
25 -79 0
25 -78.8 0
25 -78.6 0
25 -78.4 0
25 -78.2 0
25 -78 0
25 -77.8 0
25 -77.6 0
25 -77.4 0
25 -77.2 0
25 -77 0
25 -76.8 0
25 -76.6 0
25 -76.4 0
25 -76.2 0
25 -76 0
25 -75.8 0
25 -75.6 0
25 -75.4 0
25 -75.2 0
25 -75 0
25 -74.8 0
25 -74.6 0
25 -74.4 0
25 -74.2 0
25 -74 0
25 -73.8 0
25 -73.6 0
25 -73.4 0
25 -73.2 0
25 -73 0
25 -72.8 0
25 -72.6 0
25 -72.4 0
25 -72.2 0
25 -72 0
25 -71.8 0
25 -71.6 0
25 -71.4 0
25 -71.2 0
25 -71 0
25 -70.8 0
25 -70.6 0
25 -70.4 0
25 -70.2 0
25 -70 0
25 -69.8 0
25 -69.6 0
25 -69.4 0
25 -69.2 0
25 -69 0
25 -68.8 0
25 -68.6 0
25 -68.4 0
25 -68.2 0
25 -68 0
25 -67.8 0
25 -67.6 0
25 -67.4 0
25 -67.2 0
25 -67 0
25 -66.8 0
25 -66.6 0
25 -66.4 0
25 -66.2 0
25.2 -125 0
25.2 -124.8 0
25.2 -124.6 0
25.2 -124.4 0
25.2 -124.2 0
25.2 -124 0
25.2 -123.8 0
25.2 -123.6 0
25.2 -123.4 0
25.2 -123.2 0
25.2 -123 0
25.2 -122.8 0
25.2 -122.6 0
25.2 -122.4 0
25.2 -122.2 0
25.2 -122 0
25.2 -121.8 0
25.2 -121.6 0
25.2 -121.4 0
25.2 -121.2 0
25.2 -121 0
25.2 -120.8 0
25.2 -120.6 0
25.2 -120.4 0
25.2 -120.2 0
25.2 -120 0
25.2 -119.8 0
25.2 -119.6 0
25.2 -119.4 0
25.2 -119.2 0
25.2 -119 0
25.2 -118.8 0
25.2 -118.6 0
25.2 -118.4 0
25.2 -118.2 0
25.2 -118 0
25.2 -117.8 0
25.2 -117.6 0
25.2 -117.4 0
25.2 -117.2 0
25.2 -117 0
25.2 -116.8 0
25.2 -116.6 0
25.2 -116.4 0
25.2 -116.2 0
25.2 -116 0
25.2 -115.8 0
25.2 -115.6 0
25.2 -115.4 0
25.2 -115.2 0
25.2 -115 0
25.2 -114.8 0
25.2 -114.6 0
25.2 -114.4 0
25.2 -114.2 0
25.2 -114 0
25.2 -113.8 0
25.2 -113.6 0
25.2 -113.4 0
25.2 -113.2 0
25.2 -113 0
25.2 -112.8 0
25.2 -112.6 0
25.2 -112.4 0
25.2 -112.2 28
25.2 -112 36
25.2 -111.8 248
25.2 -111.6 4
25.2 -111.4 0
25.2 -111.2 0
25.2 -111 0
25.2 -110.8 0
25.2 -110.6 0
25.2 -110.4 0
25.2 -110.2 0
25.2 -110 0
25.2 -109.8 0
25.2 -109.6 0
25.2 -109.4 0
25.2 -109.2 0
25.2 -109 0
25.2 -108.8 0
25.2 -108.6 42
25.2 -108.4 24
25.2 -108.2 274
25.2 -108 481
25.2 -107.8 106
25.2 -107.6 159
25.2 -107.4 21
25.2 -107.2 9
25.2 -107 9
25.2 -106.8 45
25.2 -106.6 88
25.2 -106.4 10
25.2 -106.2 11
25.2 -106 24
25.2 -105.8 18
25.2 -105.6 126
25.2 -105.4 68
25.2 -105.2 23
25.2 -105 23
25.2 -104.8 3
25.2 -104.6 241
25.2 -104.4 28
25.2 -104.2 152
25.2 -104 83
25.2 -103.8 87
25.2 -103.6 33
25.2 -103.4 51
25.2 -103.2 0
25.2 -103 0
25.2 -102.8 1
25.2 -102.6 1
25.2 -102.4 0
25.2 -102.2 0
25.2 -102 0
25.2 -101.8 6
25.2 -101.6 9
25.2 -101.4 1
25.2 -101.2 34
25.2 -101 186
25.2 -100.8 237
25.2 -100.6 94
25.2 -100.4 194
25.2 -100.2 134
25.2 -100 506
25.2 -99.8 394
25.2 -99.6 85
25.2 -99.4 1
25.2 -99.2 2
25.2 -99 15
25.2 -98.8 0
25.2 -98.6 66
25.2 -98.4 1
25.2 -98.2 3
25.2 -98 103
25.2 -97.8 38
25.2 -97.6 1
25.2 -97.4 2
25.2 -97.2 0
25.2 -97 0
25.2 -96.8 0
25.2 -96.6 0
25.2 -96.4 0
25.2 -96.2 0
25.2 -96 0
